#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nick_the_falconknight;The Falconknight;;;;;;;;;x
nick_the_bronze_king;The Shield of The Vale;;;;;;;;;x
nick_the_mountain;The Mountain;;;;;;;;;x
nick_greatlion;Greatlion;;;;;;;;;x
nick_the_golden;The Golden;;;;;;;;;x
nick_the_red_lion;The Red Lion;;;;;;;;;x
nick_the_red;The Red;;;;;;;;;x
nick_the_black;The Black;;;;;;;;;x
nick_the_green;The Green;;;;;;;;;x
nick_the_knight_of_flowers;The Knight of Flowers;;;;;;;;;x
nick_bittersteel;Bittersteel;;;;;;;;;x
nick_the_sword_of_oldtown;The Sword of Oldtown;;;;;;;;;x
nick_the_vine;The Vine ;;;;;;;;;x
nick_the_bright_lord;The Bright Lord;;;;;;;;;x
nick_the_gallant;The Gallant;;;;;;;;;x
nick_the_fearless_light;The Fearless Light;;;;;;;;;x
nick_the_endless_ride;The Endless Tide;;;;;;;;;x
nick_the_iron_storm;The Iron Storm;;;;;;;;;x
nick_ironbeard;Ironbeard;;;;;;;;;x
nick_the_faithful_fish;The Faithful Fish;;;;;;;;;x
nick_the_brave_son; The Brave Son;;;;;;;;;x
nick_the_restorer;The Restorer;;;;;;;;;x
nick_gravesister;Gravesister;;;;;;;;;x
nick_the_just_lord;The Just Lord;;;;;;;;;x
nick_darkrobin;Darkrobin;;;;;;;;;x
nick_the_purple;The Purple;;;;;;;;;x
nick_the_emerald;The Emerald;;;;;;;;;x
nick_evenstar;Evenstar;;;;;;;;;x
nick_the_unforgiving;The Unforgiving;;;;;;;;;x
nick_the_white_wolf;The White Wolf;;;;;;;;;x
nick_the_black_wolf;The Black Wolf;;;;;;;;;x
nick_the_foaming_bear;The Foaming Bear;;;;;;;;;x
nick_the_arrogant;The Arrogant;;;;;;;;;x
nick_the_storm;The Storm;;;;;;;;;x
nick_greatstag;Greatstag;;;;;;;;;x
nick_the_stag_knight;The Stag Knight;;;;;;;;;x
nick_the_laughing_storm;The Laughing Storm;;;;;;;;;x
nick_the_lion_knight;The Lion Knight;;;;;;;;;x
nick_the_legendary;The Legendary;;;;;;;;;x
nick_the_bronze;The Bronze;;;;;;;;;x
nick_the_eagleknight;The Eagleknight;;;;;;;;;x
nick_the_hammer_of_hammerhorn;The Hammer of Hammerhorn;;;;;;;;;x
nick_the_hammer_of_oldstones;The Hammer of Oldstones;;;;;;;;;x
nick_graveman;Graveman;;;;;;;;;x
nick_the_hammer_of_justice;The Hammer of Justice;;;;;;;;;x
nick_the_lunk;the Lunk;;;;;;;;;;;;x
nick_the_comatose_king;the Comatose King;;;;;;;;;;;;x
nick_the_laughing_knight;the Laughing Knight;;;;;;;;;;;;x
nick_the_vegetable;the Vegetable;;;;;;;;;;;;x
nick_the_mountaineer;the Mountaineer;;;;;;;;;;;;x
nick_the_patient;the Patient;;;;;;;;;;;;x
nick_the_lord_of_mud;The Lord of Mud;;;;;;;;;;;;x
nick_the_outlaw;the Outlaw;;;;;;;;;;;;;x
nick_the_sellsword_king;the Sellsword King;;;;;;;;;;;;;x
nick_the_merchant_king;the Merchant King;;;;;;;;;;;;;x
nick_the_kinslayer_king;the Kinslayer King;;;;;;;;;;;;;x
nick_the_kinslayer;the Kinslayer;;;;;;;;;;;;;x
nick_the_sourfish;the Sourfish;;;;;;;;;;;;;x
nick_the_cynical;the Cynical;;;;;;;;;;;;;x
nick_the_quick;the Quick;;;;;;;;;;;;;x
nick_the_lost_wolf;the Lost Wolf;;;;;;;;;;;;;x
nick_the_old_wolf;the Old Wolf;;;;;;;;;;;;;x
nick_giants_fist;Giant's Fist;;;;;;;;;;;;;x
nick_ironfish;Ironfish;;;;;;;;;x
nick_the_amazing;the Amazing;;;;;;;x
nick_evenstar;Evenstar;;;;;;x
nick_the_knight_of_kisses;the Knight of Kisses;;;;;;;;x
nick_the_true;The True;;;;;;;x
nick_the_hungry_wolf;The Hungry Wolf;;;;;;;;;x
