#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
wonder_casterly_rock_desc;Casterly Rock, the fortress is carved out of a great stone hill and its natural defenses are further enhanced with walls and other structures. It is tunneled through with halls and chambers, with a huge keep at its peak. It is the second-largest castle in the realm with some of the strongest defenses in the world.;;;;;;;;;;;;;x
upgrade_rock_hoh;Hall of Heroes;;;;;;;;;;;;;x
upgrade_rock_hoh_desc;The Hall of Heroes is where the Lannisters and their close kin who have died valiantly are interred. The armor of Lannisters of old are also displayed in the hall.;;;;;;;;;;;;;x
upgrade_rock_gg;Golden Gallery;;;;;;;;;;;;;x
upgrade_rock_gg_desc;The Golden Gallery contains treasures of the Lannisters, including gilded ornaments and walls.;;;;;;;;;;;;;x
upgrade_rock_lm;Lion's Mouth;;;;;;;;;;;;;x
upgrade_rock_lm_desc;The Lion's Mouth, the main entry to Casterly Rock, is an enormous natural cavern reaching two hundred feet high located on the south face of the Rock. It is accessible via a great stone stairway with steps wide enough for twenty riders. There are sea gates at the base of the west face, large enough for galleys and cogs to sail into the caverns under the stone, where the Lannisters have their own protected docks, as well as wharves, and shipyards.;;;;;;;;;;;;;x
wonder_hightower;The Hightower;;;;;;;;;;;;;x
wonder_hightower_desc;The Hightower stands tall in the center of Oldtown. It is a massive stepped tower with a beacon on top to guide ships into port. It is the tallest structure in the Seven Kingdoms and some claim that the Wall can be seen from its top.;;;;;;;;;;;;;x
upgrade_hightower_beacon;Hightower's Beacon;;;;;;;;;;;;;x
upgrade_hightower_beacon_desc;The Hightower is a massive stepped tower with a beacon on top to guide ships into port. The color of the beacon's fire is changeable, as green flame can be used to call House Hightower's banners.;;;;;;;;;;;;;x
wonder_orkmont;Orkmont;;;;;;;;;;;;;x
wonder_orkmont_desc;Settled by an alliance of Andal warlords that deposed a driftwood king and dispossessed House Greyiron of their birth home, the Hoares of the black blood rose to prominence by allegedly winning the finger dance against Rognar II, seizing Orkmont Castle as their prize and losing only two fingers in the process. This granted them a bare brute of a fortress, situated above a bowl-shaped valley on the hillside, the lower portion flooded as a salt marsh during high tide. The island's landscape as a whole is barren, having been stripped of its forests long ago, and the Hoares rely on a blend of ore extraction, astute trade, savage raids, and permanent conquest against richer domains. Their sigil represents these varied historical holdings, all bound by iron chains.;;;;;;;x;;;;;;x
upgrade_orkmont_quarry;Orkmont Quarry;;;;;;;;;;;;;x
upgrade_orkmont_quarry_desc;Rugged and mountainous, Orkmont is rich in ore, including iron, lead, and tin. It was once covered in forest but the timber was used extensively for shipbuilding.;;;;;;;;;;;;;x
wonder_cathedral;Great Sept;;;;;;;;;;;;;x
wonder_mosque; Great Temple;;;;;;;;;;;;;x
wonder_synagogue;Great Temple;;;;;;;;;;;;;x
wonder_temple_pagan;Great Ritual Ground;;;;;;;;;;;;;x
wonder_mausoleum;Grand Tomb;;;;;;;;;;;;;x
wonder_banefort;The Banefort;;;;;;;;;;;;;x
wonder_banefort_desc;The seat of House Banefort in the northwestern westerlands. It is situated along the coast of the Sunset Sea north of the Crag, near the Iron Islands, and is only two days' sail from Pyke. It is one of the largest castles of the Crag.;;;;;;;;;;;;;x
wonder_eastwatch;Eastwatch-By-The-Sea;;;;;;;;;;;;x;x
wonder_eastwatch_desc;Eastwatch-by-the-Sea is the easternmost castle along the Wall, located on a grey, windswept shore by the Bay of Seals. The Night's Watch keeps several galleys at Eastwatch, including larger vessels capable of crossing the narrow sea and lean fighting vessels. The galleys patrol the Bay of Seals in part to catch smugglers who trade weapons to the wildlings.;;;;;;;;;;;x;;x
wonder_castle_black;Castle Black;;;;;;;;;;;x;;x
wonder_castle_black_desc;Castle Black is the main stronghold of the Night's Watch and the seat of their Lord Commander. The castle is situated along the Wall between Queensgate to the west and Oakenshield to the east, near the center of the Wall. Castle Black is not a true castle, as it has no walls to defend it to the west, east, or south. Only the Wall stands to the north. It consists of several stone towers and timber keeps. Beneath the keeps and towers, there is a series of subterranean passages called wormwalks which connect all of the buildings.\n\n This unique castle can only be built once its requirements are met. Castle Black was a large project that took hundreds of years to build, and is not available at game start.;;;;;;;;;;;x;;x
wonder_nightfort;Nightfort;;;;;;;;;;;x;;x
wonder_nightfort_desc;The Nightfort is the largest and oldest castle of the Night's Watch along the Wall, and the only one whose steps up the side of the Wall were carved into the ice. It sits between Icemark to the west and Deep Lake to the east. The castle has been rebuilt hundreds of times.\n\n The Nightfort does not offer the watch as much space to hold men, but gives a much higher fort level than other castles of the Watch. This does come at a higher price though, since the maintenance to keep the castle in good shape is more taxing.;;;;;;;;;;;x;;x
wonder_dragonstone;Dragonstone;;;;;;;;;;;;;x
wonder_dragonstone_desc;Dragonstone is a castle located on the island of the same name at the entrance to Blackwater Bay. Located below the Dragonmont and shaped from stone to look like dragons. The castle has a dark reputation.;;;;;;;;;;;;;x
wonder_oldstones;Oldstones;;;;;;;;;;;;;x
wonder_oldstones_desc;Oldstones sits on a hill above the Blue Fork of the Trident. The curtain wall of Oldstones encircles the brow of the hill upon which it sits, like the crown on a king's head. Beneath the castle, the lower slopes of the hill are thickly forested. There are gorse, bracken, thistle, sedge and blackberry bushes between pines and grey-green sentinels. Elsewhere skeletal elm, ash and scrub oaks choke the ground like weeds.;;;;;;;;x;;;;;x
wonder_highgarden;Highgarden;;;;;;;;;;;;;x
wonder_highgarden_desc;Highgarden is surrounded by three rings of white stone whose walls increase in height. Between the outer and middle walls is a famous briar labyrinth which serves to entertain as well as slow invaders. The oldest towers, squat and square, from the Age of Heroes. Newer towers are tall and slender, round fortifications dating from after the Andal invasion. Also within Highgarden's walls are groves, fountains, and courtyards. The castle's godswood contains three weirwoods known as the Three Singers. The palatial keep is decorated with statues and colonnades.;;;;;;;;;;;;x,;x
upgrade_highgarden_oakenseat;Oakenseat;;;;;;;;;;;;;x
upgrade_highgarden_oakenseat_desc;According to legend, the Oakenseat was a living throne carved unto an oak planted by Garth Greenhand himself.;;;;;;;;;;;;;x
upgrade_highgarden_manderv;Bounty of the Reach;;;;;;;;;;;;;x
upgrade_highgarden_manderv_desc;Highgarden is filled with flowers, singers, pipers, fiddlers and harpers. The stables have a fine selection of horseflesh, and there are pleasure boats to sail along the Mander. There are fields of golden roses that stretch as far as the eye can see. Fruits grown nearby include melons, peaches, and fireplums.;;;;;;;;;;;;;x
wonder_skyreach;Skyreach;;;;;;;;;;;;;x
wonder_skyreach_desc;The tall castle of Skyreach sits upon one side of the Wide Way. Most of the castle is carved into the stone in which it sits upon. One can see both the fertile lands of the Reach and the desolate lands of Dorne from its peak. Some consider it impossible to assault because of the narrow causeway that leads up to its tall gatehouse, and the giant towers that guard its approach.;;;;;;;;;;;;;x
